fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
Python,Python Custom Exceptions,English,Evaluating,Compare the approach of using a single custom exception with different error messages versus creating multiple specific custom exception classes. Which approach is more maintainable for a large-scale application and why?,"Level: Evaluating
Topik: Python Custom Exceptions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the approach of using a single custom exception with different error messages versus creating multiple specific custom exception classes. Which approach is more maintainable for a large-scale application and why?
React,React Code Splitting,Indonesian,Applying,Anda memiliki aplikasi React dengan komponen dashboard yang besar namun jarang diakses. Implementasikan code splitting menggunakan React.lazy() dan Suspense untuk memuat komponen ini hanya saat diperlukan.,"Level: Applying
Topik: React Code Splitting
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Anda memiliki aplikasi React dengan komponen dashboard yang besar namun jarang diakses. Implementasikan code splitting menggunakan React.lazy() dan Suspense untuk memuat komponen ini hanya saat diperlukan.
Software Engineering,Factory Pattern,Indonesian,Remembering,Apa tujuan utama dari Factory Pattern dalam desain perangkat lunak?,"Level: Remembering
Topik: Factory Pattern
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa tujuan utama dari Factory Pattern dalam desain perangkat lunak?
Server Side,Error Handling Strategy Backend,English,Creating,"Design a comprehensive error handling architecture for a microservices-based e-commerce backend that includes error logging, monitoring, graceful degradation, and user-friendly error responses across multiple services.","Level: Creating
Topik: Error Handling Strategy Backend
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a comprehensive error handling architecture for a microservices-based e-commerce backend that includes error logging, monitoring, graceful degradation, and user-friendly error responses across multiple services."
Sistem Operasi,Virtualisasi dan Shell,Indonesia,Remembering,Teknik virtualisasi apa yang didukung oleh Xen?,"Level: Remembering
Topik: Virtualisasi dan Shell
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Teknik virtualisasi apa yang didukung oleh Xen?
IT Project Management,Kanban Board Implementation,Indonesian,Creating,"Rancang struktur Kanban board yang disesuaikan untuk tim marketing yang menangani konten media sosial cepat (1-2 jam) dan kampanye konten panjang (2-3 minggu). Sertakan kolom, swimlanes, dan batasan WIP yang sesuai.","Level: Creating
Topik: Kanban Board Implementation
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang struktur Kanban board yang disesuaikan untuk tim marketing yang menangani konten media sosial cepat (1-2 jam) dan kampanye konten panjang (2-3 minggu). Sertakan kolom, swimlanes, dan batasan WIP yang sesuai."
Algorithms,Heap Sort,Indonesian,Analyzing,"Bandingkan Heap Sort dengan Quick Sort dari segi kompleksitas waktu, kompleksitas ruang, dan stabilitas. Dalam skenario apa Anda akan memilih Heap Sort dibanding Quick Sort?","Level: Analyzing
Topik: Heap Sort
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Bandingkan Heap Sort dengan Quick Sort dari segi kompleksitas waktu, kompleksitas ruang, dan stabilitas. Dalam skenario apa Anda akan memilih Heap Sort dibanding Quick Sort?"
Flutter,Flutter ListView.builder Optimization,English,Applying,"You have a Flutter app displaying 10,000 product items. Implement a ListView.builder with an itemCount of 10,000 and an itemBuilder that returns a ListTile with product name and price. What parameters are essential for optimal performance?","Level: Applying
Topik: Flutter ListView.builder Optimization
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","You have a Flutter app displaying 10,000 product items. Implement a ListView.builder with an itemCount of 10,000 and an itemBuilder that returns a ListTile with product name and price. What parameters are essential for optimal performance?"
Python OOP,Python Encapsulation,Indonesian,Creating,"Rancanglah hierarki class Python untuk sistem manajemen rumah sakit yang mendemonstrasikan enkapsulasi yang tepat dengan melindungi data sensitif pasien (rekam medis, informasi pribadi) sambil memungkinkan akses terkontrol melalui getter dan setter method yang sesuai dengan validasi.","Level: Creating
Topik: Python Encapsulation
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancanglah hierarki class Python untuk sistem manajemen rumah sakit yang mendemonstrasikan enkapsulasi yang tepat dengan melindungi data sensitif pasien (rekam medis, informasi pribadi) sambil memungkinkan akses terkontrol melalui getter dan setter method yang sesuai dengan validasi."
Sistem Interaksi,Pengumpulan Data,Indonesia,Analyzing,Bagaimana karakteristik responden yang tepat untuk dilibatkan dalam evaluasi usability sistem digital seperti aplikasi JakLingko atau website Badan Pusat Statistik?,"Level: Analyzing
Topik: Pengumpulan Data
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bagaimana karakteristik responden yang tepat untuk dilibatkan dalam evaluasi usability sistem digital seperti aplikasi JakLingko atau website Badan Pusat Statistik?
Python,Python List Comprehension,English,Evaluating,A developer uses nested list comprehensions to flatten a 3-level nested list structure. Evaluate whether this approach is appropriate or if an alternative method would be better. Justify your answer.,"Level: Evaluating
Topik: Python List Comprehension
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A developer uses nested list comprehensions to flatten a 3-level nested list structure. Evaluate whether this approach is appropriate or if an alternative method would be better. Justify your answer.
Manajemen Sistem Informasi,Global E-Business dan Kolaborasi,Indonesia,Analyzing,Analisis dampak bisnis dari tidak adanya pencatatan inventori dan penjualan yang terperinci pada usaha ritel.,"Level: Analyzing
Topik: Global E-Business dan Kolaborasi
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analisis dampak bisnis dari tidak adanya pencatatan inventori dan penjualan yang terperinci pada usaha ritel.
Information Retrieval,Precision and Recall,Indonesian,Analyzing,Sebuah sistem diagnosis medis memiliki precision 95% tetapi recall hanya 60%. Analisis implikasi dari metrik ini terhadap keselamatan pasien dan jelaskan metrik mana yang harus diprioritaskan.,"Level: Analyzing
Topik: Precision and Recall
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah sistem diagnosis medis memiliki precision 95% tetapi recall hanya 60%. Analisis implikasi dari metrik ini terhadap keselamatan pasien dan jelaskan metrik mana yang harus diprioritaskan.
Manajemen Sistem Informasi,IS in Global Business,Indonesian,Creating,Rancang sebuah framework untuk mengelola kepatuhan privasi data dalam sistem informasi global yang harus mematuhi GDPR (Eropa) dan berbagai regulasi perlindungan data di negara-negara Asia-Pasifik.,"Level: Creating
Topik: IS in Global Business
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Rancang sebuah framework untuk mengelola kepatuhan privasi data dalam sistem informasi global yang harus mematuhi GDPR (Eropa) dan berbagai regulasi perlindungan data di negara-negara Asia-Pasifik.
Sistem Operasi,C-Language dan Processes,Indonesian,Remembering,Apa fungsi dari system call fork() dalam bahasa C?,"Level: Remembering
Topik: C-Language dan Processes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi dari system call fork() dalam bahasa C?
Manajemen Bisnis,Strategi Promosi,Indonesian,Evaluating,Sebuah UMKM fashion lokal harus memilih antara beriklan di Instagram Ads atau berkolaborasi dengan micro-influencer. Strategi mana yang lebih efektif dengan budget terbatas? Berikan justifikasi berdasarkan ROI dan jangkauan target market.,"Level: Evaluating
Topik: Strategi Promosi
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah UMKM fashion lokal harus memilih antara beriklan di Instagram Ads atau berkolaborasi dengan micro-influencer. Strategi mana yang lebih efektif dengan budget terbatas? Berikan justifikasi berdasarkan ROI dan jangkauan target market.
Distributed Systems,Consensus Algorithms,English,Applying,"A distributed database with 5 nodes uses Raft consensus algorithm. If 2 nodes fail simultaneously, can the system still reach consensus? Show your reasoning.","Level: Applying
Topik: Consensus Algorithms
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A distributed database with 5 nodes uses Raft consensus algorithm. If 2 nodes fail simultaneously, can the system still reach consensus? Show your reasoning."
DevOps,Horizontal Pod Autoscaling,Indonesian,Evaluating,"Dua microservices memerlukan autoscaling: Service A memiliki pola traffic harian yang dapat diprediksi, sedangkan Service B memiliki lonjakan sporadis yang tidak terduga. Evaluasi apakah HPA merupakan solusi scaling yang tepat untuk kedua service tersebut, dan berikan justifikasi rekomendasi Anda untuk masing-masing.","Level: Evaluating
Topik: Horizontal Pod Autoscaling
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Dua microservices memerlukan autoscaling: Service A memiliki pola traffic harian yang dapat diprediksi, sedangkan Service B memiliki lonjakan sporadis yang tidak terduga. Evaluasi apakah HPA merupakan solusi scaling yang tepat untuk kedua service tersebut, dan berikan justifikasi rekomendasi Anda untuk masing-masing."
Computer & Society,Technology & Society,English,Analyzing,How can an underlying issue be distinguished from a symptom in a technology-related matter?,"Level: Analyzing
Topik: Technology & Society
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",How can an underlying issue be distinguished from a symptom in a technology-related matter?
Business Intelligence,Data Governance,Indonesian,Analyzing,Analisis bagaimana praktik data governance yang buruk dapat berdampak pada pengambilan keputusan business intelligence dan akurasi pelaporan.,"Level: Analyzing
Topik: Data Governance
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analisis bagaimana praktik data governance yang buruk dapat berdampak pada pengambilan keputusan business intelligence dan akurasi pelaporan.
